tconst	titleType	primaryTitle	originalTitle	startYear	runtimeMinutes	genres	averageRating	numVotes	directors	writers	person	oscarNominations	oscarWins
tt0116410	movie	Ghosts of Mississippi	Ghosts of Mississippi	1996	130	Drama,History	6.7	12445	nm0001661	nm0171474	"(nm0000285,actor,[""Bobby DeLaughter""]),(nm0000249,actor,[""Byron De La Beckwith""]),(nm0000155,actress,[""Myrlie Evers""]),(nm0000515,actress,[""Dixie DeLaughter""]),(nm0860749,actress,[""Peggy Lloyd""]),(nm0005266,actor,[""Ed Peters""]),(nm0085407,actor,[""Burt DeLaughter""]),(nm0854518,actor,[""Drew DeLaughter""]),(nm0891786,actress,[""Claire DeLaughter""]),(nm0000513,actor,[""Charlie Crisco""])"	2	0
tt0116477	movie	Hamlet	Hamlet	1996	242	Drama	7.7	40932	nm0000110	nm0000636,nm0000110	"(nm0000110,actor,[""Hamlet""]),(nm0001046,actress,[""Gertrude""]),(nm0001394,actor,[""Claudius""]),(nm0000701,actress,[""Ophelia""]),(nm0007825,actor,[""Attendant to Claudius""]),(nm0000277,actor,[""English Ambassador""]),(nm0086225,actor,[""Attendant to Claudius""]),(nm0000306,actor,[""Ghost of Hamlet's Father""]),(nm0001972,actor,[""Polonius""]),(nm0117188,actor,[""Priest""])"	4	0
tt0116583	movie	The Hunchback of Notre Dame	The Hunchback of Notre Dame	1996	91	Animation,Drama,Family	7.0	177786	nm0873779,nm0936374	nm0614742,nm0401076,nm0575293,nm0879318,nm0925276,nm0731271,nm0363125,nm0110293,nm0110294,nm0326814,nm0152312,nm0811279,nm0135296,nm0723633,nm0560329,nm0998551,nm0927845,nm0969162,nm0091161,nm0635488,nm0322368,nm0361315,nm0089626,nm0629734,nm0278181	"(nm0000193,actress,[""Esmeralda""]),(nm0004517,actor,[""Hugo""]),(nm0074834,actress,[""Quasimodo's Mother""]),(nm0074834,actress,[""Additional Voices""]),(nm0123553,actor,[""Brutish Guard""]),(nm0123553,actor,[""Additional Voices""]),(nm0191906,actor,[""Guards""]),(nm0191906,actor,[""Gypsies""]),(nm0265067,actor,[""Oafish Guard""]),(nm0001371,actor,[""Quasimodo""]),(nm0419645,actor,[""Frollo""]),(nm0437199,actor,[""Clopin""]),(nm0453909,actor,[""Victor""])"	1	0
tt0116629	movie	Independence Day	Independence Day	1996	145	Action,Adventure,Sci-Fi	7.0	625486	nm0000386	nm0002041,nm0000386	"(nm0000226,actor,[""Capt. Steven Hiller""]),(nm0000597,actor,[""President Thomas J. Whitmore""]),(nm0000156,actor,[""David Levinson""]),(nm0001521,actress,[""Marilyn Whitmore""]),(nm0002139,actor,[""Julius Levinson""]),(nm0005162,actor,[""General William Grey""]),(nm0001642,actor,[""Russell Casse""]),(nm0171513,actress,[""Constance Spano""]),(nm0714310,actor,[""Albert Nimziki""]),(nm0001213,actor,[""Marty Gilbert""])"	2	1
tt0116683	movie	James and the Giant Peach	James and the Giant Peach	1996	79	Adventure,Animation,Family	6.7	76320	nm0783139	nm0001094,nm0456732,nm0731271,nm0089237	"(nm0856057,actor,[""James""]),(nm0525921,actress,[""Aunt Spiker""]),(nm0000592,actor,[""Old Man""]),(nm0001003,actor,[""Grasshopper""]),(nm0000377,actor,[""Centipede""]),(nm0005137,actress,[""Ladybug""]),(nm0546816,actress,[""Aunt Sponge""]),(nm0546816,actress,[""Glowworm""]),(nm0000215,actress,[""Spider""]),(nm0000667,actor,[""Earthworm""]),(nm0185367,actor,[""Reporter #2""])"	1	0
tt0116692	movie	Beyond Silence	Jenseits der Stille	1996	109	Drama,Music	7.4	4689	nm0512862	nm0512862,nm0785237	"(nm0856500,actress,[""Lara""]),(nm0872653,actress,[""Lara als Kind (Lara as Child)""]),(nm0780462,actor,[""Martin""]),(nm0479608,actress,[""Kai""]),(nm0134388,actress,[""Clarissa""]),(nm0352278,actor,[""Gregor (Clarissa's husband)""]),(nm0093487,actress,[""Marie""]),(nm0194529,actor,[""Tom""]),(nm0769556,actress,[""Lilli""]),(nm0755208,actor,[""Robert""])"	1	0
tt0116695	movie	Jerry Maguire	Jerry Maguire	1996	139	Comedy,Drama,Romance	7.3	297580	nm0001081	nm0001081	"(nm0000129,actor,[""Jerry Maguire""]),(nm0000421,actor,[""Rod Tidwell""]),(nm0000250,actress,[""Dorothy Boyd""]),(nm0000593,actress,[""Avery Bishop""]),(nm0005278,actor,[""Frank Cushman""]),(nm0001542,actor,[""Bob Sugar""]),(nm0001372,actress,[""Laurel Boyd""]),(nm0005093,actress,[""Marcee Tidwell""]),(nm0005151,actor,[""Ray Boyd""]),(nm0521974,actor,[""Chad the Nanny""])"	5	1
tt0116754	movie	Prisoner of the Mountains	Kavkazskiy plennik	1996	99	Drama,War	7.5	4857	nm0091076	nm0019732,nm0091076,nm0318851,nm0866243	"(nm0579823,actor,[""Sacha Kostylin""]),(nm0091074,actor,[""Ivan (Vanya) Zhilin""]),(nm0577277,actress,[""Dina""]),(nm0797703,actor,[""Abdul-Murat""]),(nm0121087,actor,[""Hasan""]),(nm0270235,actress,[""Zhilin's Mother""]),(nm0955535,actor,[""Maslov, the Russian Commander""]),(nm2747537,actor,\N),(nm0467509,actor,\N),(nm0495634,actor,\N)"	1	0
tt0116790	movie	Kolya	Kolja	1996	111	Comedy,Drama,Music	7.7	16566	nm0841232	nm0851568,nm0006664	"(nm0006664,actor,[""Louka""]),(nm0149936,actor,[""Kolja""]),(nm0755941,actress,[""Klára""]),(nm0895384,actor,[""Broz""]),(nm0959184,actress,[""Mother""]),(nm0810602,actor,[""Houdek""]),(nm0515108,actress,[""Nadezda""]),(nm0840445,actress,[""Blanka""]),(nm0539813,actress,[""Tamara""]),(nm0379464,actor,[""Musil""])"	1	1
tt0116886	movie	The Line King: The Al Hirschfeld Story	The Line King: The Al Hirschfeld Story	1996	86	Biography,Documentary	7.3	447	nm0238743	nm0238743		1	0
