tconst	titleType	primaryTitle	originalTitle	startYear	runtimeMinutes	genres	averageRating	numVotes	directors	writers	person	oscarNominations	oscarWins
tt0790712	movie	The Messenger	The Messenger	2009	113	Drama,Romance,War	7.1	37585	nm0610219	nm0131947,nm0610219	"(nm0004936,actor,[""Staff Sergeant Will Montgomery""]),(nm0608090,actress,[""Olivia Pitterson""]),(nm0000437,actor,[""Captain Tony Stone""]),(nm0540441,actress,[""Kelly""]),(nm0907708,actor,[""Colonel Stuart Dorsett""]),(nm1861624,actress,[""Monica Washington""]),(nm1783671,actress,[""Mrs. Burrell""]),(nm2436809,actress,[""Emily""]),(nm0000114,actor,[""Dale Martin""]),(nm0416838,actor,[""Dr. Grosso""])"	2	0
tt1410281	movie	Rabbit à la Berlin	Królik po berlinsku	2009	51	Documentary,History,News	7.5	924	nm1572674	nm1572674,nm3395489,nm1272928,nm2317039	nan	1	0
tt1399573	short	Kavi	Kavi	2009	19	Drama,Short	6.8	443	nm2620434	nm2620434	"(nm2190867,actor,[""Kavi""]),(nm3374678,actor,[""Boss""]),(nm3374492,actor,[""Father""]),(nm3374253,actress,[""Mother""]),(nm0080349,actor,[""Social Worker 1""]),(nm3374471,actor,[""Social Worker 2""]),(nm3211965,actor,[""Guard""])"	1	0
tt1035736	movie	Coco Before Chanel	Coco avant Chanel	2009	105	Biography,Drama	6.6	42932	nm0284774	nm1212643,nm0284774,nm1597664	"(nm0851582,actress,[""Gabrielle Chanel""]),(nm0688143,actor,[""Étienne Balsan""]),(nm0005273,actor,[""Boy Capel""]),(nm0002100,actress,[""Adrienne Chanel""]),(nm0222922,actress,[""Emilienne d'Alençon""]),(nm0747384,actor,[""Alec, le jockey""]),(nm0061100,actor,[""Maître d'hôtel Balsan""]),(nm0240426,actor,[""Maurice de Nexon""]),(nm0126754,actor,[""Patron boutique""]),(nm0500044,actor,[""Jean, le palefrenier""])"	1	0
tt1049413	movie	Up	Up	2009	96	Adventure,Animation,Comedy	8.3	1177390	nm0230032,nm0677037	nm0230032,nm0677037,nm0565336	"(nm0000799,actor,[""Carl Fredricksen""]),(nm2973712,actor,[""Russell""]),(nm0001652,actor,[""Construction Foreman Tom""]),(nm0001626,actor,[""Charles Muntz""]),(nm0677037,actor,[""Dug""]),(nm0677037,actor,[""Alpha""]),(nm0005148,actor,[""Beta""]),(nm0710019,actor,[""Gamma""]),(nm0443286,actor,[""Newsreel Announcer""]),(nm3423667,actress,[""Young Ellie""]),(nm3422941,actor,[""Young Carl""])"	5	2
tt1470652	short	Let's Pollute	Let's Pollute	2009	6	Animation,Comedy,Short	6.5	666	nm0091161	nm0091161,nm0187001,nm0628599	"(nm1365860,actor,[""Narrator""])"	1	0
tt0988045	movie	Sherlock Holmes	Sherlock Holmes	2009	128	Action,Adventure,Mystery	7.6	688859	nm0005363	nm3467335,nm0669756,nm1334526,nm0927880,nm0236279	"(nm0000375,actor,[""Sherlock Holmes""]),(nm0000179,actor,[""Dr. John Watson""]),(nm1046097,actress,[""Irene Adler""]),(nm0835016,actor,[""Lord Henry Blackwood""]),(nm0550371,actor,[""Inspector Lestrade""]),(nm0537631,actor,[""Dredger""]),(nm0416524,actress,[""Mrs. Hudson""]),(nm0717709,actress,[""Mary Morstan""]),(nm0396908,actor,[""Constable Clark""]),(nm0558548,actor,[""Lord Coward""])"	2	0
tt1487120	tvMovie	The Last Truck: Closing of a GM Plant	The Last Truck: Closing of a GM Plant	2009	40	Documentary	6.9	512	nm0091840,nm0717064	nm0091840,nm0717064	"(nm3560558,actress,[""Dana Baker""])"	1	0
tt1520428	short	The New Tenants	The New Tenants	2009	21	Comedy,Crime,Drama	6.8	1588	nm3629315	nm0421314,nm0974536	"(nm0000352,actor,[""Jan""]),(nm0180984,actor,[""Zelko""]),(nm0049313,actress,[""Irene""]),(nm0365988,actor,[""Peter""]),(nm0974536,actor,[""Frank""]),(nm0359834,actress,[""Grandma""]),(nm8047458,actress,[""Joan""])"	1	1
tt0875034	movie	Nine	Nine	2009	118	Drama,Musical,Romance	5.8	45880	nm0551128	nm0866062,nm0005237,nm0465792,nm1169564,nm3688913	"(nm0000358,actor,[""Guido Contini""]),(nm0182839,actress,[""Luisa Contini""]),(nm0004851,actress,[""Carla""]),(nm0233604,actor,[""Studio Superintendent""]),(nm0000173,actress,[""Claudia""]),(nm0001132,actress,[""Lilli""]),(nm0000047,actress,[""Mamma""]),(nm0005028,actress,[""Stephanie""]),(nm0004914,actress,[""Saraghina""]),(nm0865573,actor,[""Dante""])"	4	0
